Source,Target,Tweet Type
olibrown7,callofdutyuk,reply
ruler774rula,nvidiageforcees,reply
marco_cc123,callofdutyuk,reply
mr_flexalot1,astrogaming,reply
aureliensfw,callofdutyfr,reply
mathferrari_,nvidiageforcefr,reply
theo_wizman,nvidiageforcefr,reply
mrberni11,playstationde,reply
osyris_,nvidiageforcefr,reply
creepinteepee,kontrolfreek,reply
1jour1jeuretro,callofdutyfr,reply
1878luke,callofdutyuk,reply
eyzerzv,nvidiageforcefr,reply
kalizenn_,nvidiageforcefr,reply
ijulith,nvidiageforcefr,reply
roach3467,astrogaming,reply
hugotimmerman,threeuk,reply
tdemonseed,astrogaming,reply
joyamore1,nvidiageforcefr,reply
engine144hz,scuffrance,reply
katnissjc369,threeuk,reply
khennichelucas,scuffrance,reply
shiefkrieger2,callofdutyde,reply
vipgratuits,callofdutyfr,reply
jonesyboy33,callofdutyuk,reply
jowell_ac,kontrolfreekes,reply
laztedd_,callofdutyuk,reply
vertyxt,nvidiageforcefr,reply
youpsida,nvidiageforcefr,reply
rx_geezy54,kontrolfreek,reply
auberzient,callofdutyfr,reply
chelseasmilx,callofdutyfr,reply
pyro92707890,nvidiageforceuk,reply
storm_bagy,callofdutyfr,reply
j0j0016,nvidiageforcefr,reply
joyamore1,callofdutyfr,reply
gwn_luuk,callofdutyuk,reply
rabidmunkee,callofdutyuk,reply
lawlghoost,nvidiageforceuk,reply
